Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
Grouped by Item from WAVAL20260501-br-dtl,,,,,,,,Fasteners,"4,568",Screw,"2,776"
,,,,,,,,Hardware & Fittings,979,Hardware Component,844
Source Rows,6571,Unique Items,"6,270",,,,,Electrical & Wiring,273,Washer,638
Duplicate Rows Consolidated,301,Total Quantity OH,"84,666,287",,,,,Springs & Clips,141,Bolt,544
,,Total Quantity On PO,"85,524,937",,,,,Raw Materials & Metals,105,Nut,401
Refresh Note,Formulas update if source quantities/items change,,,,,,,Tools & Tooling,97,Raw Material,105
Item,Description,Vendor,Product Line,Quantity OH,Quantity On PO,Commodity Type,Item Type,Miscellaneous/MRO,65,Electrical Component,101
141,1/2 INCH CONDUIT LOCKNUT STEEL,OCW,704-RB,"19,900","200,000",Electrical & Wiring,Electrical Component,Packaging & Labeling,26,Clip / Pin / Ring,79
612,612 KEYSTONE **ROHS,FE,700,"1,700",0,Hardware & Fittings,Hardware Component,Adhesives/Tape/Sealants,10,Wire / Cable,79
1064,HEYCO 1064,HEY,700,3,0,Electrical & Wiring,Electrical Component,Abrasives & Cutting,6,Spring,62
1065,HEYCO 1065,HEY,700,3,0,Electrical & Wiring,Electrical Component,,,Insert,59
1170,HEYCO #1170 STRAIN RELIEF .562,CC,700,650,0,Electrical & Wiring,Strain Relief,,,Fitting / Valve,53
1205,UNINSULATED TERMINAL RING .220,NICHIF,700,4,0,Electrical & Wiring,Lug / Terminal,,,Spacer / Standoff,53
1208,1208 HEYCO WHITE STRAIN RELIEF,HWE,700,900,0,Electrical & Wiring,Strain Relief,,,Gauge / Measurement,52
1214,HEYCO 1214 SR 6L-1,HEY,700,"5,254",0,Electrical & Wiring,Electrical Component,,,Rod / Stud,49
1237,HEYCO 1237 STRAIN RELEIF BLACK,HEY,700,200,0,Electrical & Wiring,Strain Relief,,,Tooling,45
1240,HEYCO 1240 STRAIN RELEIF BLACK,HEY,700,"1,000",0,Electrical & Wiring,Strain Relief,,,Seal / Gasket / O-Ring,43
1497,HEYCO 1497 STRAIN RELIEF BLACK,HEY,700,"2,000",0,Electrical & Wiring,Strain Relief,,,Connector,41
1587,COMPRESSION SPRING .030 DIA,NEWCOM,700,"2,920",0,Springs & Clips,Spring,,,Lug / Terminal,41
1599,HEYCO #1599 PIG TAIL STRAIN,HWE,700,100,0,Electrical & Wiring,Electrical Component,,,Custom / Print Part,36
1641,1641 GREASE FITTING 1/4-28,GLHUYE,700,"4,325",0,Hardware & Fittings,Fitting / Valve,,,Rivet,35
1657,HEYCO 1657,HEY,700,1,0,Electrical & Wiring,Electrical Component,,,Safety / MRO,29
1660,SHIORTY PLUG BLACK,HEY,700,"10,000",0,Electrical & Wiring,Electrical Component,,,Packaging,26
1678,HEYCO 1678,CC,700,1,0,Electrical & Wiring,Electrical Component,,,Kit,25
